,video_id,thumbnails,Title,Published_date,Views,Likes,Comments,Year,Month,Month_name,minimum_income,maximum_income
0,HMwsAd_mOts,https://i.ytimg.com/vi/HMwsAd_mOts/default.jpg,١٠ حاجات لازم تعملهم في الأجازة,2023-08-04 15:54:39+00:00,187656,18197,1081,2023,8,August,93.828,1125.936
1,xxcuQ1qmH24,https://i.ytimg.com/vi/xxcuQ1qmH24/default.jpg,١٠ مستويات لاستخدام التليفون,2023-07-28 14:06:20+00:00,176348,15744,2324,2023,7,July,88.174,1058.088
2,8JE0FwoJrUE,https://i.ytimg.com/vi/8JE0FwoJrUE/default.jpg,الچيم والدش الصاقع والصحيان بدري كلام فارغ؟,2023-07-21 12:33:57+00:00,363338,25244,1930,2023,7,July,181.669,2180.028
3,FM3jv3U9Nh8,https://i.ytimg.com/vi/FM3jv3U9Nh8/default.jpg,كيف تصمم بيئة النجاح؟,2023-07-10 14:00:19+00:00,457653,35986,1996,2023,7,July,228.8265,2745.918
4,-elC2z-4jY4,https://i.ytimg.com/vi/-elC2z-4jY4/default.jpg,"جولة في تليفوني, فلسفة استخدامي للتليفون الذكي ٢٠٢٣",2023-06-30 13:26:32+00:00,265022,22316,985,2023,6,June,132.511,1590.132
5,WHTITfW9X8E,https://i.ytimg.com/vi/WHTITfW9X8E/default.jpg,كيف تنجح وأنت متخاذل ضعيف الإرادة؟,2023-06-23 14:00:02+00:00,635252,51427,2163,2023,6,June,317.626,3811.512
6,HJl3sAuk2jk,https://i.ytimg.com/vi/HJl3sAuk2jk/default.jpg,ضروري جداً تتعلم المهارات الناعمة حالاً,2023-06-16 13:30:06+00:00,756413,55366,2028,2023,6,June,378.2065,4538.478
7,PW9nUrkmzIQ,https://i.ytimg.com/vi/PW9nUrkmzIQ/default.jpg,الطريقة الصحيحة لاستخدام يوتيوب,2023-06-09 13:56:50+00:00,352910,43177,3452,2023,6,June,176.455,2117.46
8,LLf3wPHrKus,https://i.ytimg.com/vi/LLf3wPHrKus/default.jpg,ذاكر معي ساعتين بتقنية البومودورو - Study with me,2023-06-04 12:02:37+00:00,191236,9442,825,2023,6,June,95.618,1147.416
9,-MoFaxb0rwQ,https://i.ytimg.com/vi/-MoFaxb0rwQ/default.jpg,ازاي تذاكر في زنقة الامتحانات؟!,2023-05-26 11:43:03+00:00,374615,41334,2312,2023,5,May,187.3075,2247.69
10,Df-Ou0AphH4,https://i.ytimg.com/vi/Df-Ou0AphH4/default.jpg,بودكاست مع أحمد فهمي: قعدة مصطبة يوتيوبية هندسية بين طنطا والأسكندرية.,2023-05-20 13:00:08+00:00,296856,13515,1071,2023,5,May,148.428,1781.136
11,lWn0RL73Eqg,https://i.ytimg.com/vi/lWn0RL73Eqg/default.jpg,كيف تخدعنا أيكيا؟,2023-05-12 12:00:38+00:00,237779,18778,1185,2023,5,May,118.8895,1426.674
12,UeWjgncW2DQ,https://i.ytimg.com/vi/UeWjgncW2DQ/default.jpg,ذاكر معي ٤ ساعات بتقنية البومودورو  - Study with me,2023-05-07 15:33:56+00:00,1268679,55572,4130,2023,5,May,634.3395,7612.074
13,nx7-R-x1bSI,https://i.ytimg.com/vi/nx7-R-x1bSI/default.jpg,١٠ حكم حياتيه في ١٠ صور عبقرية,2023-05-01 07:00:20+00:00,283082,27939,1207,2023,5,May,141.541,1698.492
14,NdwsA7wVooM,https://i.ytimg.com/vi/NdwsA7wVooM/default.jpg,غمضت عيني ٢٠ يوم، حياتي اتغيرت,2023-04-18 19:20:20+00:00,348307,29743,1688,2023,4,April,174.1535,2089.842
15,S5JIgDDorlg,https://i.ytimg.com/vi/S5JIgDDorlg/default.jpg,متى تترك المدرسة أو الجامعة؟,2023-04-14 12:00:31+00:00,164454,13798,1239,2023,4,April,82.227,986.724
16,bZuZOzowlT4,https://i.ytimg.com/vi/bZuZOzowlT4/default.jpg,ليه لازم تتعلم البرمجة والمجالات التكنولوجية في ٢٠٢٣؟و ازاي؟,2023-04-08 23:17:34+00:00,708656,48831,1951,2023,4,April,354.328,4251.936
17,wyLZHukiZzY,https://i.ytimg.com/vi/wyLZHukiZzY/default.jpg,فيديو ممل لا تشاهده,2023-03-31 11:30:30+00:00,415395,40731,4606,2023,3,March,207.6975,2492.37
18,E8eLQrZS7wg,https://i.ytimg.com/vi/E8eLQrZS7wg/default.jpg,٧ حاجات وصلونا ل ٧ مليون؟,2023-03-26 18:30:10+00:00,151269,15330,891,2023,3,March,75.6345,907.614
19,5A88cV7VTM8,https://i.ytimg.com/vi/5A88cV7VTM8/default.jpg,الصورة لا تساوي ١٠٠٠ كلمة؟,2023-03-17 17:30:01+00:00,171586,12502,653,2023,3,March,85.793,1029.516
20,lgyOc1XR2og,https://i.ytimg.com/vi/lgyOc1XR2og/default.jpg,١٠ طرق لعمل قائمة المهام (to do list),2023-03-11 16:30:08+00:00,349596,28434,1221,2023,3,March,174.798,2097.576
21,5AZ_dbUKUfY,https://i.ytimg.com/vi/5AZ_dbUKUfY/default.jpg,الذكاء الاصطناعي هيستبدلنا كلنا؟,2023-03-07 16:30:01+00:00,232290,16968,790,2023,3,March,116.145,1393.74
22,-2Xv2kKCKhY,https://i.ytimg.com/vi/-2Xv2kKCKhY/default.jpg,اللايف الاسبوعي الجميل,2023-03-05 21:05:49+00:00,73021,4162,280,2023,3,March,36.5105,438.126
23,yfjNGHJXNHo,https://i.ytimg.com/vi/yfjNGHJXNHo/default.jpg,لماذا لا أحب ملخصات الكتب؟,2023-02-24 16:00:39+00:00,147726,16893,992,2023,2,February,73.863,886.356
24,WjW4Mr_-cg8,https://i.ytimg.com/vi/WjW4Mr_-cg8/default.jpg,١٠ حاجات كدا كدا هتندم عليهم في نهاية حياتك,2023-02-17 15:58:29+00:00,1094059,77370,2925,2023,2,February,547.0295,6564.354
25,jV0I70s_iWI,https://i.ytimg.com/vi/jV0I70s_iWI/default.jpg,كيف تستمتع بحياتك رغم الصعوبات؟,2023-02-10 16:00:22+00:00,347673,32596,1429,2023,2,February,173.8365,2086.038
26,9KmDmge7L8g,https://i.ytimg.com/vi/9KmDmge7L8g/default.jpg,بودكاست مع أحمد كيميا | الفطرة السليمة والرحلة من الصعيد لأمريكا ومن النقاشة للعمل الحر.,2023-02-03 16:30:33+00:00,464258,18129,1142,2023,2,February,232.129,2785.548
27,suyGaZw8Wxw,https://i.ytimg.com/vi/suyGaZw8Wxw/default.jpg,هنعمل ايه مع سعادة البيه؟,2023-01-28 18:06:26+00:00,248737,18591,724,2023,1,January,124.3685,1492.422
28,JDz4H9d6Uf8,https://i.ytimg.com/vi/JDz4H9d6Uf8/default.jpg,١٠ حكم حياتية في ١٠ صور.,2023-01-20 12:40:59+00:00,305458,24604,1148,2023,1,January,152.729,1832.748
29,5fgHVWHZ-HY,https://i.ytimg.com/vi/5fgHVWHZ-HY/default.jpg,كنز آبل المخفي في الآيفون؟Apple Shortcuts,2023-01-13 17:08:09+00:00,302911,15847,709,2023,1,January,151.4555,1817.466
30,gbxq7-B0CFs,https://i.ytimg.com/vi/gbxq7-B0CFs/default.jpg,بودكاست مع علي محمد علي: عبودية الوظيفة والعمل الحر، لماذا لا تناسبنا بعض الكتب، تأثير كرة القدم.,2023-01-06 11:09:24+00:00,370719,16499,1314,2023,1,January,185.3595,2224.314
31,nmZPGKhdCIM,https://i.ytimg.com/vi/nmZPGKhdCIM/default.jpg,ليه السنة خلصت بسرعة؟,2023-01-01 19:25:59+00:00,281025,23782,1232,2023,1,January,140.5125,1686.15
32,4k_op3TP9xg,https://i.ytimg.com/vi/4k_op3TP9xg/default.jpg,هذا الاختراع هو سر إدمـ  ـانك للسوشيال ميديا؟,2022-12-23 16:30:00+00:00,445444,42876,1912,2022,12,December,222.722,2672.664
